player_id,t_fn,b_fn,similarity,t_frame,t_index,b_frame,b_index
225,20_12.jpg,33_9.jpg,0.93127525,20,12,33,9
35,108_20.jpg,25_9.jpg,0.93112963,108,20,25,9
24,55_0.jpg,89_0.jpg,0.9311135,55,0,89,0
8,28_17.jpg,12_2.jpg,0.9310833,28,17,12,2
6,77_12.jpg,33_4.jpg,0.9310707,77,12,33,4
19,19_1.jpg,7_1.jpg,0.93101144,19,1,7,1
94,37_9.jpg,70_5.jpg,0.930949,37,9,70,5
132,186_12.jpg,99_1.jpg,0.93086576,186,12,99,1
194,39_6.jpg,16_11.jpg,0.93082434,39,6,16,11
19,92_2.jpg,7_1.jpg,0.93080926,92,2,7,1
11,34_2.jpg,78_6.jpg,0.9308054,34,2,78,6
22,3_21.jpg,18_8.jpg,0.9307461,3,21,18,8
47,8_1.jpg,43_0.jpg,0.9307434,8,1,43,0
4,0_11.jpg,9_6.jpg,0.9307271,0,11,9,6
45,72_5.jpg,11_3.jpg,0.93061423,72,5,11,3
29,12_0.jpg,77_7.jpg,0.93056417,12,0,77,7
7,34_10.jpg,26_8.jpg,0.93055636,34,10,26,8
25,172_8.jpg,107_4.jpg,0.930519,172,8,107,4
320,26_4.jpg,57_3.jpg,0.93050957,26,4,57,3
272,160_12.jpg,110_7.jpg,0.93031716,160,12,110,7
84,88_7.jpg,117_5.jpg,0.9302602,88,7,117,5
194,1_6.jpg,16_11.jpg,0.93024576,1,6,16,11
162,27_6.jpg,71_6.jpg,0.9301441,27,6,71,6
128,9_0.jpg,61_0.jpg,0.93011063,9,0,61,0
399,3_3.jpg,39_1.jpg,0.93010986,3,3,39,1
140,47_5.jpg,38_1.jpg,0.93010235,47,5,38,1
434,27_15.jpg,30_8.jpg,0.9300898,27,15,30,8
209,184_14.jpg,84_5.jpg,0.9300641,184,14,84,5
8,54_2.jpg,12_2.jpg,0.93004197,54,2,12,2
35,150_21.jpg,25_9.jpg,0.93003047,150,21,25,9
4,51_13.jpg,9_6.jpg,0.9300222,51,13,9,6
35,71_10.jpg,25_9.jpg,0.9300183,71,10,25,9
